Area,Room,Parking,Warehouse,Elevator,Address,Price
63,1,TRUE,TRUE,TRUE,Shahran,61666.67
60,1,TRUE,TRUE,TRUE,Shahran,61666.67
79,2,TRUE,TRUE,TRUE,Pardis,18333.33
95,2,TRUE,TRUE,TRUE,Shahrake Qods,30083.33
123,2,TRUE,TRUE,TRUE,Shahrake Gharb,233333.33
70,2,TRUE,TRUE,FALSE,North Program Organization,68333.33
87,2,TRUE,TRUE,TRUE,Pardis,20000
59,1,TRUE,TRUE,TRUE,Shahran,71666.67
54,2,TRUE,TRUE,FALSE,Andisheh,16433.33
71,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,79000
68,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,81666.67
64,1,TRUE,TRUE,TRUE,Narmak,70000
54,1,FALSE,TRUE,TRUE,Narmak,56333.33
136,3,TRUE,TRUE,TRUE,Saadat Abad,366666.67
95,2,TRUE,TRUE,TRUE,Zafar,166666.67
63,1,FALSE,TRUE,FALSE,Islamshahr,19000
155,3,TRUE,TRUE,TRUE,Narmak,223333.33
64,2,FALSE,TRUE,FALSE,Pirouzi,48333.33
140,3,TRUE,TRUE,TRUE,West Ferdows Boulevard,213333.33
42,1,FALSE,TRUE,FALSE,Pirouzi,46333.33
93,2,TRUE,TRUE,TRUE,Shahrake Gharb,233333.33
87,2,TRUE,TRUE,TRUE,Shahrake Shahid Bagheri,83333.33
65,1,TRUE,TRUE,TRUE,Shahran,62666.67
99,2,TRUE,TRUE,TRUE,Moniriyeh,75900
105,2,TRUE,TRUE,TRUE,Saadat Abad,238333.33
160,3,TRUE,TRUE,TRUE,Velenjak,498166.67
77,2,TRUE,TRUE,TRUE,Amirieh,59033.33
123,2,TRUE,TRUE,TRUE,Pirouzi,135300
110,2,TRUE,TRUE,TRUE,Southern Janatabad,21000
100,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,106666.67
90,2,FALSE,TRUE,FALSE,Salsabil,50000
49,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,73333.33
96,2,TRUE,TRUE,TRUE,Zargandeh,262400
67,2,TRUE,TRUE,FALSE,Feiz Garden,78333.33
68,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,83333.33
62,1,TRUE,FALSE,TRUE,Water Organization,71666.67
55,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,71666.67
110,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,125000
129,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,175000
109,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,161000
58,1,TRUE,TRUE,TRUE,Saadat Abad,113333.33
55,1,TRUE,TRUE,TRUE,Saadat Abad,128333.33
150,2,FALSE,TRUE,TRUE,Shahrake Qods,40000
60,2,TRUE,TRUE,TRUE,,88333.33
130,3,TRUE,TRUE,FALSE,ShahrAra,166666.67
88,2,TRUE,TRUE,TRUE,Gisha,158333.33
51,1,TRUE,TRUE,TRUE,Gisha,99333.33
113,3,TRUE,TRUE,FALSE,Shahrake Gharb,233333.33
110,2,TRUE,TRUE,TRUE,Ray,67833.33
60,1,TRUE,TRUE,TRUE,Abbasabad,82000
98,2,TRUE,TRUE,TRUE,Pardis,18000
62,2,FALSE,FALSE,TRUE,Ostad Moein,48333.33
150,3,TRUE,TRUE,TRUE,Farmanieh,333333.33
75,2,FALSE,FALSE,FALSE,Parand,21166.67
61,1,TRUE,TRUE,FALSE,Punak,67666.67
61,1,TRUE,TRUE,FALSE,Punak,67666.67
72,2,TRUE,TRUE,TRUE,Shahran,78333.33
100,2,TRUE,TRUE,TRUE,Qasr-od-Dasht,100000
122,3,TRUE,TRUE,TRUE,Aqdasieh,240000
215,3,TRUE,TRUE,TRUE,Pakdasht,58333.33
101,2,TRUE,TRUE,TRUE,Railway,110000
67,2,TRUE,TRUE,TRUE,Punak,93333.33
72,2,TRUE,TRUE,FALSE,Punak,73333.33
63,1,TRUE,TRUE,FALSE,Punak,73333.33
75,2,TRUE,TRUE,FALSE,Punak,73333.33
109,2,TRUE,TRUE,TRUE,Shahran,116666.67
122,2,TRUE,TRUE,TRUE,Aqdasieh,233333.33
70,1,TRUE,TRUE,TRUE,Central Janatabad,103333.33
60,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,81666.67
53,1,TRUE,TRUE,FALSE,East Ferdows Boulevard,64000
90,1,FALSE,TRUE,FALSE,Pakdasht KhatunAbad,28333.33
72,2,TRUE,TRUE,TRUE,Amirieh,55000
74,2,TRUE,TRUE,TRUE,Amirieh,56666.67
88,3,FALSE,FALSE,TRUE,Parand,18666.67
63,1,TRUE,TRUE,TRUE,Punak,71666.67
114,3,TRUE,TRUE,TRUE,Sattarkhan,183333.33
151,3,TRUE,TRUE,TRUE,Saadat Abad,340000
42,1,TRUE,FALSE,TRUE,Shahran,58666.67
74,2,TRUE,TRUE,TRUE,Amirieh,56666.67
88,3,FALSE,FALSE,TRUE,Parand,18666.67
63,1,TRUE,TRUE,TRUE,Punak,71666.67
114,3,TRUE,TRUE,TRUE,Sattarkhan,183333.33
151,3,TRUE,TRUE,TRUE,Saadat Abad,340000
42,1,TRUE,FALSE,TRUE,Shahran,58666.67
300,3,TRUE,TRUE,FALSE,Baghestan,50000
110,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,124333.33
100,2,FALSE,FALSE,FALSE,Shahrake Qods,20666.67
140,1,FALSE,FALSE,FALSE,Shahryar,19333.33
70,2,TRUE,TRUE,TRUE,Northern Janatabad,101666.67
60,2,TRUE,TRUE,FALSE,West Ferdows Boulevard,66666.67
76,2,TRUE,TRUE,TRUE,North Program Organization,86666.67
148,3,TRUE,TRUE,TRUE,Daryan No,199666.67
75,2,TRUE,TRUE,TRUE,North Program Organization,76666.67
40,1,TRUE,TRUE,FALSE,Pirouzi,43333.33
65,2,TRUE,TRUE,TRUE,Southern Program Organization,75666.67
140,3,TRUE,TRUE,TRUE,Rudhen,133333.33
110,2,TRUE,TRUE,TRUE,West Pars,133333.33
70,2,TRUE,FALSE,TRUE,Afsarieh,55000
128,3,TRUE,TRUE,TRUE,Marzdaran,223333.33
94,2,TRUE,TRUE,TRUE,Parand,19333.33
67,1,TRUE,TRUE,TRUE,Punak,76666.67
75,1,TRUE,TRUE,TRUE,Shahrake Qods,21666.67
130,2,TRUE,TRUE,TRUE,Dorous,563333.33
40,0,FALSE,FALSE,FALSE,Shahrake Qods,8266.67
97,2,TRUE,TRUE,TRUE,Pardis,17000
110,2,TRUE,TRUE,TRUE,Shahran,128333.33
150,3,TRUE,TRUE,TRUE,Sadeghieh,200000
75,2,FALSE,FALSE,FALSE,Chahardangeh,26000
137,3,TRUE,TRUE,TRUE,ShahrAra,240000
85,2,TRUE,TRUE,TRUE,Parand,13666.67
68,2,FALSE,TRUE,FALSE,Pakdasht,14333.33
78,2,FALSE,TRUE,FALSE,Baqershahr,26666.67
85,2,TRUE,TRUE,TRUE,Parand,18166.67
100,2,TRUE,TRUE,FALSE,Parand,42666.67
71,2,TRUE,TRUE,TRUE,Punak,93333.33
140,3,TRUE,TRUE,TRUE,Gisha,373333.33
136,3,TRUE,TRUE,FALSE,Parand,25000
48,1,FALSE,FALSE,FALSE,Jeyhoon,28333.33
100,2,TRUE,TRUE,TRUE,Lavizan,110000
82,2,TRUE,FALSE,TRUE,Shams Abad,109333.33
120,3,TRUE,TRUE,TRUE,Fatemi,160000
139,3,TRUE,TRUE,TRUE,Gisha,243333.33
110,3,TRUE,TRUE,TRUE,Keshavarz Boulevard,131666.67
78,2,FALSE,FALSE,TRUE,Parand,12333.33
79,2,FALSE,FALSE,FALSE,Baghestan,25000
66,2,TRUE,TRUE,TRUE,Salsabil,57500
78,2,TRUE,TRUE,TRUE,Kahrizak,26000
85,2,TRUE,TRUE,TRUE,Shahryar,47300
100,2,TRUE,TRUE,FALSE,Qarchak,40000
80,2,TRUE,TRUE,TRUE,Northren Jamalzadeh,120000
44,1,TRUE,TRUE,FALSE,Salsabil,35000
120,2,TRUE,TRUE,FALSE,Shahryar,40000
50,1,FALSE,TRUE,FALSE,Shahrake Qods,11333.33
121,3,TRUE,TRUE,FALSE,Ostad Moein,110000
80,2,TRUE,TRUE,TRUE,Azarbaijan,93333.33
70,2,FALSE,TRUE,TRUE,Bahar,40000
160,1,FALSE,FALSE,FALSE,Qarchak,120
40,0,FALSE,FALSE,FALSE,Pakdasht,5500
88,2,TRUE,TRUE,TRUE,Railway,95333.33
141,3,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,127000
140,3,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,59666.67
120,2,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,51000
66,2,FALSE,TRUE,FALSE,Beryanak,33333.33
70,2,TRUE,TRUE,TRUE,Punak,116666.67
75,2,TRUE,FALSE,TRUE,Heshmatieh,100000
70,2,FALSE,TRUE,TRUE,Elm-o-Sanat,60000
150,3,TRUE,TRUE,TRUE,Saadat Abad,666666.67
95,2,TRUE,TRUE,TRUE,Golestan,31666.67
127,2,TRUE,TRUE,TRUE,Southern Janatabad,200000
123,3,TRUE,TRUE,TRUE,Shahr-e-Ziba,123333.33
63,2,TRUE,TRUE,TRUE,Southern Janatabad,66666.67
90,2,TRUE,TRUE,TRUE,Punak,101666.67
105,2,TRUE,TRUE,TRUE,Pardis,20166.67
180,3,TRUE,TRUE,TRUE,Pasdaran,330000
120,3,TRUE,FALSE,TRUE,Pirouzi,123333.33
65,2,TRUE,TRUE,TRUE,Feiz Garden,83333.33
158,3,TRUE,TRUE,TRUE,Farmanieh,349333.33
144,3,TRUE,TRUE,TRUE,Chardivari,254400
144,3,TRUE,TRUE,TRUE,Punak,254400
130,3,TRUE,TRUE,TRUE,Gheitarieh,410000
245,3,TRUE,TRUE,TRUE,Farmanieh,898333.33
190,3,TRUE,TRUE,TRUE,Kamranieh,810000
63,2,TRUE,TRUE,TRUE,Central Janatabad,100000
75,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,70000
88,2,TRUE,FALSE,TRUE,Gholhak,156666.67
108,2,TRUE,TRUE,TRUE,Pasdaran,306000
117,2,TRUE,TRUE,TRUE,Islamshahr,52650
200,3,TRUE,TRUE,TRUE,Pasdaran,400000
