<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.03	01:00:00	26.695	26.703	26.641	26.644	696	0	26
2024.05.03	02:00:00	26.649	26.680	26.629	26.669	704	0	18
2024.05.03	03:00:00	26.671	26.679	26.592	26.670	1037	0	17
2024.05.03	04:00:00	26.668	26.756	26.621	26.631	1394	0	18
2024.05.03	05:00:00	26.628	26.639	26.572	26.618	1146	0	17
2024.05.03	06:00:00	26.617	26.639	26.601	26.629	887	0	17
2024.05.03	07:00:00	26.631	26.732	26.623	26.709	876	0	17
2024.05.03	08:00:00	26.714	26.741	26.672	26.685	1054	0	17
2024.05.03	09:00:00	26.684	26.696	26.504	26.508	1990	0	10
2024.05.03	10:00:00	26.511	26.567	26.506	26.538	2179	0	10
2024.05.03	11:00:00	26.539	26.597	26.493	26.529	2265	0	9
2024.05.03	12:00:00	26.532	26.581	26.485	26.556	1779	0	9
2024.05.03	13:00:00	26.557	26.563	26.480	26.514	1852	0	9
2024.05.03	14:00:00	26.512	26.519	26.409	26.459	1993	0	9
2024.05.03	15:00:00	26.458	26.877	26.339	26.605	5820	0	7
2024.05.03	16:00:00	26.603	26.644	26.116	26.329	7510	0	19
2024.05.03	17:00:00	26.518	26.547	26.122	26.282	7992	0	19
2024.05.03	18:00:00	26.283	26.388	26.257	26.311	4715	0	19
2024.05.03	19:00:00	26.313	26.479	26.301	26.457	3071	0	10
2024.05.03	20:00:00	26.458	26.489	26.413	26.474	2428	0	10
2024.05.03	21:00:00	26.475	26.482	26.391	26.426	1710	0	9
2024.05.03	22:00:00	26.424	26.496	26.390	26.491	1575	0	9
2024.05.03	23:00:00	26.481	26.565	26.477	26.543	1105	0	10
2024.05.06	01:00:00	26.548	26.620	26.542	26.587	658	0	21
2024.05.06	02:00:00	26.595	26.625	26.443	26.449	1250	0	18
2024.05.06	03:00:00	26.447	26.557	26.417	26.514	1497	0	24
2024.05.06	04:00:00	26.514	26.948	26.514	26.932	3633	0	28
2024.05.06	05:00:00	26.935	26.987	26.882	26.908	1969	0	22
2024.05.06	06:00:00	26.910	26.941	26.861	26.882	1420	0	21
2024.05.06	07:00:00	26.882	26.896	26.825	26.865	908	0	22
2024.05.06	08:00:00	26.858	26.979	26.858	26.956	2002	0	19
2024.05.06	09:00:00	26.959	27.044	26.923	27.016	3185	0	10
2024.05.06	10:00:00	27.014	27.155	27.011	27.125	2599	0	11
2024.05.06	11:00:00	27.119	27.128	27.071	27.094	2284	0	11
2024.05.06	12:00:00	27.092	27.168	27.073	27.163	1958	0	11
2024.05.06	13:00:00	27.164	27.191	27.122	27.128	1618	0	12
2024.05.06	14:00:00	27.126	27.170	27.058	27.085	1903	0	10
2024.05.06	15:00:00	27.084	27.339	26.998	27.219	3838	0	11
2024.05.06	16:00:00	27.217	27.416	27.185	27.316	5305	0	19
2024.05.06	17:00:00	27.318	27.382	27.181	27.194	4260	0	19
2024.05.06	18:00:00	27.193	27.364	27.168	27.355	2490	0	10
2024.05.06	19:00:00	27.355	27.398	27.253	27.385	2952	0	10
2024.05.06	20:00:00	27.381	27.411	27.323	27.396	2270	0	11
2024.05.06	21:00:00	27.397	27.452	27.376	27.448	1535	0	11
2024.05.06	22:00:00	27.448	27.476	27.408	27.426	1575	0	9
2024.05.06	23:00:00	27.418	27.460	27.409	27.421	992	0	11
2024.05.07	01:00:00	27.424	27.452	27.420	27.435	541	0	20
2024.05.07	02:00:00	27.440	27.447	27.385	27.441	754	0	22
2024.05.07	03:00:00	27.441	27.491	27.377	27.441	1213	0	20
2024.05.07	04:00:00	27.439	27.499	27.275	27.308	2592	0	23
2024.05.07	05:00:00	27.306	27.341	27.248	27.305	1654	0	22
2024.05.07	06:00:00	27.306	27.386	27.299	27.384	1411	0	22
2024.05.07	07:00:00	27.384	27.392	27.268	27.305	1233	0	22
2024.05.07	08:00:00	27.311	27.364	27.220	27.273	1959	0	18
2024.05.07	09:00:00	27.274	27.274	27.206	27.236	2786	0	10
2024.05.07	10:00:00	27.237	27.263	27.165	27.213	2446	0	8
2024.05.07	11:00:00	27.211	27.253	27.149	27.249	2553	0	9
2024.05.07	12:00:00	27.248	27.270	27.184	27.208	1819	0	8
2024.05.07	13:00:00	27.209	27.277	27.179	27.262	1746	0	10
2024.05.07	14:00:00	27.262	27.314	27.238	27.299	1898	0	10
2024.05.07	15:00:00	27.298	27.386	27.191	27.377	3229	0	11
2024.05.07	16:00:00	27.378	27.513	27.345	27.400	4710	0	9
2024.05.07	17:00:00	27.401	27.445	27.228	27.243	3788	0	8
2024.05.07	18:00:00	27.245	27.364	27.239	27.285	3135	0	9
2024.05.07	19:00:00	27.285	27.325	27.268	27.288	2044	0	8
2024.05.07	20:00:00	27.287	27.338	27.261	27.269	2386	0	6
2024.05.07	21:00:00	27.265	27.289	27.218	27.246	2169	0	7
2024.05.07	22:00:00	27.249	27.278	27.208	27.267	1441	0	7
2024.05.07	23:00:00	27.253	27.271	27.215	27.223	812	0	9
2024.05.08	01:00:00	27.206	27.246	27.201	27.206	567	0	20
2024.05.08	02:00:00	27.211	27.251	27.189	27.235	552	0	21
2024.05.08	03:00:00	27.237	27.267	27.221	27.238	980	0	20
2024.05.08	04:00:00	27.238	27.258	27.079	27.083	2094	0	20
2024.05.08	05:00:00	27.081	27.374	27.070	27.337	1894	0	20
2024.05.08	06:00:00	27.335	27.351	27.288	27.333	1327	0	19
2024.05.08	07:00:00	27.335	27.390	27.331	27.375	942	0	18
2024.05.08	08:00:00	27.375	27.426	27.335	27.353	1539	0	17
2024.05.08	09:00:00	27.351	27.379	27.274	27.316	2299	0	8
2024.05.08	10:00:00	27.317	27.321	27.092	27.092	2251	0	11
2024.05.08	11:00:00	27.085	27.133	27.000	27.111	2908	0	9
2024.05.08	12:00:00	27.110	27.171	27.096	27.160	1929	0	7
2024.05.08	13:00:00	27.161	27.251	27.150	27.226	1823	0	9
2024.05.08	14:00:00	27.230	27.282	27.192	27.254	2268	0	9
2024.05.08	15:00:00	27.257	27.380	27.250	27.310	3186	0	12
2024.05.08	16:00:00	27.311	27.366	27.155	27.172	4966	0	19
2024.05.08	17:00:00	27.174	27.472	27.160	27.420	3858	0	19
2024.05.08	18:00:00	27.420	27.468	27.347	27.456	2981	0	10
2024.05.08	19:00:00	27.456	27.467	27.396	27.406	2009	0	7
2024.05.08	20:00:00	27.407	27.422	27.341	27.347	1758	0	11
2024.05.08	21:00:00	27.349	27.375	27.311	27.362	1401	0	9
2024.05.08	22:00:00	27.362	27.364	27.293	27.300	1434	0	9
2024.05.08	23:00:00	27.286	27.328	27.279	27.324	645	0	15
2024.05.09	01:00:00	27.320	27.357	27.318	27.344	633	0	26
2024.05.09	02:00:00	27.349	27.351	27.289	27.304	628	0	22
2024.05.09	03:00:00	27.306	27.361	27.273	27.330	850	0	22
2024.05.09	04:00:00	27.330	27.445	27.304	27.359	1763	0	25
2024.05.09	05:00:00	27.359	27.438	27.325	27.422	1252	0	23
2024.05.09	06:00:00	27.424	27.497	27.417	27.465	1091	0	18
2024.05.09	07:00:00	27.463	27.525	27.460	27.521	946	0	18
2024.05.09	08:00:00	27.523	27.703	27.519	27.637	2301	0	19
2024.05.09	09:00:00	27.636	27.702	27.587	27.612	2485	0	12
2024.05.09	10:00:00	27.613	27.668	27.519	27.557	2064	0	11
2024.05.09	11:00:00	27.556	27.678	27.546	27.627	1906	0	11
2024.05.09	12:00:00	27.626	27.650	27.575	27.577	1367	0	8
2024.05.09	13:00:00	27.576	27.666	27.568	27.629	1434	0	10
2024.05.09	14:00:00	27.630	27.719	27.618	27.702	1854	0	7
2024.05.09	15:00:00	27.708	27.926	27.676	27.909	3466	0	8
2024.05.09	16:00:00	27.913	27.928	27.598	27.918	6117	0	19
2024.05.09	17:00:00	27.919	28.191	27.907	28.111	5515	0	9
2024.05.09	18:00:00	28.113	28.190	28.051	28.101	3244	0	8
2024.05.09	19:00:00	28.100	28.174	28.083	28.093	1940	0	7
2024.05.09	20:00:00	28.094	28.169	28.079	28.164	1833	0	8
2024.05.09	21:00:00	28.165	28.214	28.136	28.207	1428	0	10
2024.05.09	22:00:00	28.206	28.297	28.172	28.294	1806	0	9
2024.05.09	23:00:00	28.283	28.333	28.262	28.320	1152	0	12
2024.05.10	01:00:00	28.319	28.365	28.282	28.331	518	0	25
2024.05.10	02:00:00	28.331	28.381	28.309	28.329	654	0	22
2024.05.10	03:00:00	28.331	28.347	28.274	28.298	1155	0	21
2024.05.10	04:00:00	28.302	28.468	28.252	28.378	3453	0	29
2024.05.10	05:00:00	28.375	28.402	28.212	28.275	2189	0	20
2024.05.10	06:00:00	28.280	28.361	28.271	28.354	1514	0	21
2024.05.10	07:00:00	28.355	28.412	28.307	28.385	1019	0	21
2024.05.10	08:00:00	28.386	28.475	28.381	28.460	2093	0	19
2024.05.10	09:00:00	28.457	28.628	28.438	28.626	3712	0	12
2024.05.10	10:00:00	28.625	28.654	28.556	28.617	2534	0	14
2024.05.10	11:00:00	28.617	28.680	28.581	28.666	2393	0	10
2024.05.10	12:00:00	28.667	28.756	28.604	28.646	2274	0	9
2024.05.10	13:00:00	28.648	28.744	28.642	28.655	2338	0	11
2024.05.10	14:00:00	28.656	28.665	28.552	28.561	2305	0	9
2024.05.10	15:00:00	28.563	28.639	28.367	28.367	4419	0	13
2024.05.10	16:00:00	28.368	28.469	28.271	28.410	5787	0	19
2024.05.10	17:00:00	28.403	28.498	28.034	28.130	6019	0	19
2024.05.10	18:00:00	28.123	28.250	28.037	28.236	3996	0	19
2024.05.10	19:00:00	28.235	28.298	28.182	28.259	2762	0	11
2024.05.10	20:00:00	28.260	28.312	28.224	28.290	2361	0	12
2024.05.10	21:00:00	28.291	28.306	28.210	28.235	1463	0	9
2024.05.10	22:00:00	28.233	28.254	28.184	28.199	1625	0	9
2024.05.10	23:00:00	28.189	28.202	28.130	28.158	707	0	15
2024.05.13	01:00:00	28.169	28.190	28.097	28.111	667	0	27
2024.05.13	02:00:00	28.116	28.202	28.116	28.162	668	0	21
2024.05.13	03:00:00	28.160	28.222	28.160	28.217	1073	0	20
2024.05.13	04:00:00	28.216	28.218	27.952	28.118	2707	0	20
2024.05.13	05:00:00	28.117	28.164	28.079	28.150	1768	0	21
2024.05.13	06:00:00	28.151	28.161	28.060	28.097	1389	0	23
2024.05.13	07:00:00	28.092	28.097	28.005	28.014	914	0	23
2024.05.13	08:00:00	28.014	28.071	27.970	28.048	1836	0	19
2024.05.13	09:00:00	28.049	28.100	28.016	28.086	2777	0	11
2024.05.13	10:00:00	28.086	28.159	28.058	28.128	2360	0	11
