<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.03	01:00:00	29.524	29.597	29.505	29.577	482	0	20
2024.07.03	02:00:00	29.577	29.590	29.561	29.573	425	0	20
2024.07.03	03:00:00	29.571	29.591	29.520	29.528	803	0	20
2024.07.03	04:00:00	29.528	29.616	29.487	29.576	2019	0	20
2024.07.03	05:00:00	29.576	29.616	29.463	29.527	1407	0	20
2024.07.03	06:00:00	29.525	29.633	29.513	29.625	1137	0	20
2024.07.03	07:00:00	29.625	29.728	29.624	29.710	882	0	20
2024.07.03	08:00:00	29.710	29.744	29.632	29.657	1820	0	19
2024.07.03	09:00:00	29.658	29.927	29.658	29.916	2874	0	11
2024.07.03	10:00:00	29.916	30.169	29.875	30.137	2366	0	10
2024.07.03	11:00:00	30.138	30.182	30.078	30.080	2336	0	10
2024.07.03	12:00:00	30.083	30.094	30.008	30.070	1715	0	10
2024.07.03	13:00:00	30.069	30.147	30.050	30.143	1831	0	10
2024.07.03	14:00:00	30.142	30.209	30.063	30.161	2042	0	10
2024.07.03	15:00:00	30.162	30.584	30.162	30.471	4242	0	14
2024.07.03	16:00:00	30.464	30.490	30.226	30.322	5926	0	14
2024.07.03	17:00:00	30.319	30.666	30.319	30.535	5717	0	14
2024.07.03	18:00:00	30.536	30.583	30.429	30.568	3610	0	10
2024.07.03	19:00:00	30.567	30.575	30.477	30.491	2620	0	10
2024.07.03	20:00:00	30.486	30.558	30.470	30.490	1590	0	10
2024.07.03	21:00:00	30.495	30.534	30.476	30.494	867	0	10
2024.07.03	22:00:00	30.496	30.502	30.418	30.442	586	0	10
2024.07.03	23:00:00	30.429	30.495	30.427	30.475	463	0	14
2024.07.04	01:00:00	30.452	30.515	30.439	30.497	429	0	21
2024.07.04	02:00:00	30.502	30.542	30.490	30.513	449	0	20
2024.07.04	03:00:00	30.516	30.537	30.455	30.516	863	0	20
2024.07.04	04:00:00	30.512	30.574	30.443	30.534	1876	0	20
2024.07.04	05:00:00	30.534	30.534	30.364	30.406	1529	0	20
2024.07.04	06:00:00	30.405	30.445	30.345	30.366	1296	0	20
2024.07.04	07:00:00	30.371	30.433	30.359	30.417	690	0	20
