<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.02	  13:00:00	 26.364	  26.365   26.134	26.225	3182	   0	 11
2024.05.02    14:00:00   26.225   26.310   26.200   26.275   2900      0     11
2024.05.02    15:00:00   26.275   26.340   26.210   26.305   3100      0     10
2024.05.02    16:00:00   26.305   26.390   26.250   26.355   3300      0     10
2024.05.02    17:00:00   26.355   26.430   26.280   26.395   3500      0     12
2024.05.02    18:00:00   26.395   26.460   26.300   26.420   3400      0     11
2024.05.02    19:00:00   26.420   26.500   26.360   26.470   3600      0     13
2024.05.02    20:00:00   26.470   26.520   26.400   26.480   3700      0     14
2024.05.02    21:00:00   26.480   26.560   26.420   26.525   3900      0     13
2024.05.02    22:00:00   26.525   26.590   26.470   26.560   3800      0     12
2024.05.02    23:00:00   26.560   26.630   26.500   26.600   4000      0     14
