<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.25	18:00:00	22.855	22.862	22.717	22.748	2199	0	10
2024.01.25	19:00:00	22.750	22.772	22.718	22.731	1724	0	8
2024.01.25	20:00:00	22.732	22.825	22.729	22.760	1795	0	8
2024.01.25	21:00:00	22.759	22.895	22.737	22.889	1372	0	8
2024.01.25	22:00:00	22.889	22.904	22.853	22.884	1164	0	8
2024.01.25	23:00:00	22.875	22.912	22.868	22.891	566	0	11
2024.01.26	01:00:00	22.890	22.907	22.883	22.896	538	0	18
2024.01.26	02:00:00	22.898	22.903	22.865	22.888	421	0	18
2024.01.26	03:00:00	22.890	22.923	22.846	22.859	966	0	18
2024.01.26	04:00:00	22.859	22.923	22.851	22.884	744	0	18
2024.01.26	05:00:00	22.891	22.901	22.853	22.880	590	0	18
2024.01.26	06:00:00	22.886	22.905	22.869	22.887	511	0	18
2024.01.26	07:00:00	22.886	22.957	22.874	22.940	724	0	18
2024.01.26	08:00:00	22.941	22.950	22.875	22.877	899	0	18
2024.01.26	09:00:00	22.875	22.891	22.815	22.828	1131	0	8
2024.01.26	10:00:00	22.828	22.883	22.815	22.846	1116	0	8
2024.01.26	11:00:00	22.846	22.923	22.793	22.895	1176	0	8
2024.01.26	12:00:00	22.896	22.959	22.896	22.949	976	0	8
2024.01.26	13:00:00	22.949	22.979	22.902	22.918	1005	0	8
2024.01.26	14:00:00	22.917	22.928	22.852	22.864	1018	0	8
2024.01.26	15:00:00	22.864	22.902	22.716	22.820	2553	0	8
2024.01.26	16:00:00	22.817	22.859	22.695	22.787	2655	0	9
2024.01.26	17:00:00	22.785	22.834	22.691	22.764	2268	0	8
2024.01.26	18:00:00	22.762	22.784	22.718	22.780	1513	0	8
2024.01.26	19:00:00	22.780	22.791	22.712	22.739	1352	0	8
2024.01.26	20:00:00	22.739	22.786	22.727	22.741	1114	0	8
2024.01.26	21:00:00	22.741	22.772	22.725	22.759	713	0	8
2024.01.26	22:00:00	22.759	22.815	22.751	22.797	821	0	8
2024.01.26	23:00:00	22.788	22.811	22.770	22.777	617	0	11
2024.01.29	01:00:00	22.921	22.969	22.878	22.885	931	0	18
2024.01.29	02:00:00	22.888	22.895	22.787	22.838	878	0	18
2024.01.29	03:00:00	22.838	22.925	22.838	22.877	1368	0	18
2024.01.29	04:00:00	22.884	22.899	22.825	22.893	907	0	18
2024.01.29	05:00:00	22.893	22.915	22.870	22.903	722	0	18
2024.01.29	06:00:00	22.909	22.935	22.890	22.912	591	0	18
2024.01.29	07:00:00	22.918	22.921	22.865	22.868	936	0	18
2024.01.29	08:00:00	22.874	22.931	22.853	22.926	979	0	18
2024.01.29	09:00:00	22.927	23.021	22.926	22.987	1204	0	8
2024.01.29	10:00:00	22.987	23.030	22.968	22.982	1266	0	8
2024.01.29	11:00:00	22.980	22.995	22.932	22.935	1150	0	8
2024.01.29	12:00:00	22.934	22.948	22.913	22.946	1041	0	8
2024.01.29	13:00:00	22.945	22.999	22.935	22.994	1101	0	8
2024.01.29	14:00:00	22.995	23.047	22.991	23.014	1173	0	8
2024.01.29	15:00:00	23.015	23.069	22.950	23.036	1727	0	8
2024.01.29	16:00:00	23.037	23.048	22.761	22.826	2345	0	9
2024.01.29	17:00:00	22.824	22.952	22.770	22.938	2087	0	9
2024.01.29	18:00:00	22.938	23.090	22.938	23.074	1620	0	8
2024.01.29	19:00:00	23.077	23.208	23.075	23.142	1334	0	8
2024.01.29	20:00:00	23.142	23.148	23.100	23.126	1112	0	8
2024.01.29	21:00:00	23.128	23.152	23.084	23.099	1158	0	8
2024.01.29	22:00:00	23.099	23.211	23.099	23.183	1531	0	8
2024.01.29	23:00:00	23.173	23.202	23.153	23.182	582	0	8
2024.01.30	01:00:00	23.204	23.207	23.176	23.182	233	0	18
2024.01.30	02:00:00	23.181	23.234	23.181	23.213	595	0	18
2024.01.30	03:00:00	23.211	23.219	23.155	23.157	1037	0	18
2024.01.30	04:00:00	23.153	23.169	23.116	23.150	816	0	16
2024.01.30	05:00:00	23.152	23.168	23.133	23.133	764	0	16
2024.01.30	06:00:00	23.136	23.158	23.118	23.126	529	0	18
2024.01.30	07:00:00	23.126	23.169	23.122	23.123	707	0	18
2024.01.30	08:00:00	23.126	23.206	23.123	23.175	1025	0	18
2024.01.30	09:00:00	23.175	23.248	23.156	23.199	1399	0	8
2024.01.30	10:00:00	23.198	23.233	23.156	23.166	1275	0	8
2024.01.30	11:00:00	23.165	23.176	23.095	23.112	1073	0	8
2024.01.30	12:00:00	23.113	23.120	23.088	23.097	960	0	8
2024.01.30	13:00:00	23.096	23.107	23.047	23.102	1024	0	8
2024.01.30	14:00:00	23.101	23.126	23.068	23.109	1026	0	8
2024.01.30	15:00:00	23.110	23.126	23.027	23.114	2000	0	8
2024.01.30	16:00:00	23.115	23.296	23.110	23.257	2523	0	8
2024.01.30	17:00:00	23.259	23.292	22.930	23.037	3218	0	8
2024.01.30	18:00:00	23.039	23.113	23.012	23.112	1632	0	8
2024.01.30	19:00:00	23.111	23.139	23.083	23.114	1318	0	8
2024.01.30	20:00:00	23.114	23.116	23.050	23.083	1192	0	8
2024.01.30	21:00:00	23.084	23.170	23.078	23.154	1000	0	8
2024.01.30	22:00:00	23.155	23.175	23.148	23.163	813	0	8
2024.01.30	23:00:00	23.153	23.167	23.133	23.145	706	0	11
2024.01.31	01:00:00	23.148	23.151	23.133	23.143	198	0	18
2024.01.31	02:00:00	23.144	23.197	23.125	23.129	616	0	18
2024.01.31	03:00:00	23.130	23.144	23.061	23.069	968	0	16
2024.01.31	04:00:00	23.067	23.074	23.031	23.060	874	0	18
2024.01.31	05:00:00	23.057	23.079	23.043	23.061	605	0	18
2024.01.31	06:00:00	23.065	23.089	23.038	23.074	390	0	18
2024.01.31	07:00:00	23.081	23.081	23.021	23.057	802	0	18
2024.01.31	08:00:00	23.059	23.068	23.000	23.015	874	0	18
2024.01.31	09:00:00	23.016	23.077	23.001	23.072	1250	0	8
2024.01.31	10:00:00	23.072	23.176	23.065	23.128	1325	0	8
2024.01.31	11:00:00	23.132	23.153	23.075	23.087	1201	0	8
2024.01.31	12:00:00	23.087	23.088	23.026	23.043	1255	0	8
2024.01.31	13:00:00	23.043	23.114	23.037	23.079	1100	0	8
2024.01.31	14:00:00	23.078	23.139	23.069	23.114	1130	0	8
2024.01.31	15:00:00	23.113	23.170	23.059	23.130	2505	0	8
2024.01.31	16:00:00	23.129	23.316	23.089	23.233	2545	0	8
2024.01.31	17:00:00	23.233	23.298	23.212	23.273	2542	0	9
2024.01.31	18:00:00	23.274	23.293	23.021	23.104	2317	0	8
2024.01.31	19:00:00	23.103	23.110	23.038	23.067	1478	0	8
