<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.15	09:00:00	28.499	28.564	28.349	28.469	6689	0	19
2024.04.15	10:00:00	28.464	28.516	28.339	28.381	4371	0	14
2024.04.15	11:00:00	28.381	28.417	28.188	28.313	4622	0	12
2024.04.15	12:00:00	28.316	28.343	28.222	28.303	3123	0	10
2024.04.15	13:00:00	28.305	28.448	28.297	28.435	2501	0	12
2024.04.15	14:00:00	28.438	28.545	28.411	28.518	3774	0	15
2024.04.15	15:00:00	28.519	28.742	28.401	28.731	6484	0	18
2024.04.15	16:00:00	28.736	28.795	28.426	28.557	10324	0	19
2024.04.15	17:00:00	28.556	28.572	28.091	28.468	12860	0	19
2024.04.15	18:00:00	28.467	28.640	28.365	28.615	7922	0	19
2024.04.15	19:00:00	28.618	28.694	28.472	28.664	6089	0	12
2024.04.15	20:00:00	28.665	28.764	28.561	28.720	6878	0	20
2024.04.15	21:00:00	28.716	28.806	28.675	28.769	4644	0	15
2024.04.15	22:00:00	28.768	28.882	28.737	28.862	5149	0	15
2024.04.15	23:00:00	28.853	28.878	28.791	28.837	1225	0	21
2024.04.16	01:00:00	28.857	28.965	28.857	28.911	1192	0	20
2024.04.16	02:00:00	28.911	28.967	28.852	28.879	936	0	24
2024.04.16	03:00:00	28.874	29.004	28.831	28.908	1781	0	23
2024.04.16	04:00:00	28.906	28.946	28.667	28.781	3624	0	23
2024.04.16	05:00:00	28.781	28.804	28.613	28.754	2149	0	23
2024.04.16	06:00:00	28.752	28.891	28.718	28.823	1853	0	22
