DATETIME,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>,RSI
2015-01-02 09:00:00,15.889,15.896,15.807,15.834,993,18451000,21,
2015-01-02 10:00:00,15.836,15.864,15.822,15.834,1116,25764000,22,
2015-01-02 11:00:00,15.836,15.838,15.79,15.822,1023,18885000,19,
2015-01-02 12:00:00,15.827,15.828,15.725,15.772,1286,23593000,21,
2015-01-02 13:00:00,15.781,15.786,15.667,15.734,1584,28750000,17,
2015-01-02 14:00:00,15.736,15.766,15.591,15.722,1655,31134000,17,
2015-01-02 15:00:00,15.713,15.725,15.527,15.634,2079,51514000,0,
2015-01-02 16:00:00,15.633,15.635,15.556,15.561,1914,47796000,11,
2015-01-02 17:00:00,15.588,16.06,15.543,15.946,2354,58571000,9,
2015-01-02 18:00:00,15.948,15.984,15.865,15.933,1939,48437000,20,
2015-01-02 19:00:00,15.934,15.965,15.778,15.778,1660,41219000,23,
2015-01-02 20:00:00,15.783,15.8,15.662,15.69,1636,40900000,25,
2015-01-02 21:00:00,15.69,15.749,15.682,15.707,1011,25275000,18,
2015-01-02 22:00:00,15.707,15.784,15.689,15.768,720,18000000,25,
2015-01-02 23:00:00,15.774,15.796,15.721,15.724,436,10900000,25,44.69111969111973
2015-01-05 01:00:00,15.783,15.785,15.629,15.738,562,9441000,31,45.484484777517565
2015-01-05 02:00:00,15.736,15.95,15.716,15.932,1128,23720000,24,55.096542641985415
2015-01-05 03:00:00,15.937,16.052,15.937,15.983,1452,29273000,24,57.23142601662258
2015-01-05 04:00:00,15.983,16.027,15.936,15.995,1127,27668000,21,57.74053889405104
2015-01-05 05:00:00,15.996,16.012,15.969,15.975,888,22095000,23,56.53266334101487
2015-01-05 06:00:00,15.97,15.978,15.916,15.936,737,18416000,25,54.15369455203901
2015-01-05 07:00:00,15.937,16.066,15.93,16.037,1347,32290000,23,58.96918863190466
2015-01-05 08:00:00,16.039,16.047,16.005,16.033,921,18466000,24,58.7061958977845
2015-01-05 09:00:00,16.034,16.092,16.024,16.062,1172,19306000,16,60.09570355965147
2015-01-05 10:00:00,16.062,16.083,16.028,16.035,1146,18417000,18,58.13433499172726
2015-01-05 11:00:00,16.036,16.083,16.027,16.049,1009,17258000,19,58.88367518907154
2015-01-05 12:00:00,16.049,16.06,15.953,15.973,1258,23281000,19,53.305835467268295
2015-01-05 13:00:00,15.972,15.989,15.859,15.892,1200,21666000,19,48.078524210321675
2015-01-05 14:00:00,15.892,15.931,15.853,15.907,1306,23130000,20,49.07445737564025
2015-01-05 15:00:00,15.902,16.047,15.826,16.013,2578,44264000,17,55.56143607965265
2015-01-05 16:00:00,16.013,16.237,15.998,16.213,2329,38271000,14,64.69853538260935
2015-01-05 17:00:00,16.214,16.254,16.025,16.07,2398,40726000,17,55.85543609431477
2015-01-05 18:00:00,16.067,16.104,15.905,15.932,1367,23145000,18,48.90809627159774
2015-01-05 19:00:00,15.932,16.142,15.927,16.132,1797,30789000,18,57.21405576805613
2015-01-05 20:00:00,16.131,16.224,16.114,16.21,1976,47939000,20,59.9487164878563
2015-01-05 21:00:00,16.207,16.218,16.16,16.192,961,22485000,19,59.01136902613814
2015-01-05 22:00:00,16.191,16.233,16.151,16.199,1100,26760000,24,59.27803015587671
2015-01-05 23:00:00,16.192,16.202,16.138,16.138,365,8513000,25,55.86712900419165
2015-01-06 00:00:00,16.156,16.169,16.152,16.162,63,1575000,56,56.91749914093352
2015-01-06 01:00:00,16.147,16.158,16.121,16.151,362,8465000,19,56.2566231545542
2015-01-06 02:00:00,16.138,16.149,16.113,16.137,545,8720000,15,55.37534972186896
2015-01-06 03:00:00,16.137,16.187,16.122,16.18,1379,22433000,18,57.573701863596526
2015-01-06 04:00:00,16.18,16.219,16.178,16.186,879,14252000,18,57.885462977277115
2015-01-06 05:00:00,16.186,16.213,16.172,16.196,626,10025000,17,58.433691583953475
2015-01-06 06:00:00,16.196,16.235,16.189,16.216,679,10873000,15,59.56733560713038
2015-01-06 07:00:00,16.218,16.225,16.177,16.189,993,15897000,17,57.29551353243715
2015-01-06 08:00:00,16.189,16.338,16.189,16.286,1634,26153000,0,62.78659848246336
2015-01-06 09:00:00,16.286,16.325,16.24,16.24,1046,16736000,16,58.91758388395568
2015-01-06 10:00:00,16.244,16.345,16.221,16.335,1541,24665000,14,63.86934519633923
2015-01-06 11:00:00,16.335,16.363,16.291,16.337,1619,27298000,14,63.96781100360751
2015-01-06 12:00:00,16.339,16.339,16.267,16.28,935,17768000,19,59.03023630991342
2015-01-06 13:00:00,16.282,16.293,16.207,16.218,996,21705000,20,54.13543221237328
2015-01-06 14:00:00,16.218,16.27,16.188,16.245,1055,21843000,18,55.85225731134861
2015-01-06 15:00:00,16.249,16.336,16.187,16.242,1910,43189000,15,55.60320490225714
